,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Atenção Primária,161,Vencimentos e Vantagens Fixas - Pessoal Civil,1604,"R$ 438.000,00",,,"R$ 282.683,78","R$ 50.254,62","R$ 50.254,62","R$ 50.254,62","R$ 51.536,18","R$ 51.536,18","R$ 51.536,18","R$ 53.525,42","R$ 53.525,42","R$ 53.525,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 155.316,22","R$ 155.316,22","R$ 155.316,22"
Atenção Primária,161,Vencimentos e Vantagens Fixas - Pessoal Civil,1605,"R$ 96.000,00",,,"R$ 80.178,00","R$ 5.274,00","R$ 5.274,00","R$ 5.274,00","R$ 5.274,00","R$ 5.274,00","R$ 5.274,00","R$ 5.274,00","R$ 5.274,00","R$ 5.274,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 15.822,00","R$ 15.822,00","R$ 15.822,00"
Atenção Primária,161,Vencimentos e Vantagens Fixas - Pessoal Civil,1621,"R$ 50.000,00",,,"R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,162,Obrigações Patronais,1500,"R$ 940.000,00",,,"R$ 646.931,03","R$ 81.474,80","R$ 81.474,80","R$ 0,00","R$ 105.851,63","R$ 105.851,63","R$ 81.474,80","R$ 105.742,54","R$ 105.742,54","R$ 105.851,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 293.068,97","R$ 293.068,97","R$ 187.326,43"
Atenção Primária,163,Indenizações e Restituições Trabalhistas,1500,"R$ 9.000,00","R$ 25.000,00",,"R$ 1.367,66","R$ 13.430,98","R$ 13.430,98","R$ 13.430,98","R$ 19.201,36","R$ 19.201,36","R$ 19.201,36","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 32.632,34","R$ 32.632,34","R$ 32.632,34"
Atenção Primária,164,Materiais de Consumo,1500,"R$ 100.000,00",,"R$ 20.000,00","R$ 71.630,64","R$ 5.580,56","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.788,80","R$ 5.580,56","R$ 5.580,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.369,36","R$ 5.580,56","R$ 5.580,56"
Atenção Primária,164,Materiais de Consumo,1600,"R$ 550.000,00",,,"R$ 317.157,07","R$ 117.327,64","R$ 8.360,22","R$ 8.360,22","R$ 36.791,55","R$ 16.741,41","R$ 715,33","R$ 78.723,74","R$ 9.291,24","R$ 17.851,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 232.842,93","R$ 34.392,87","R$ 26.927,46"
Atenção Primária,164,Materiais de Consumo,1621,"R$ 173.000,00",,,"R$ 48.062,46","R$ 52.124,40","R$ 3.634,70","R$ 3.634,70","R$ 72.813,14","R$ 35.513,77","R$ 35.513,77","R$ 0,00","R$ 37.822,27","R$ 37.822,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 124.937,54","R$ 76.970,74","R$ 76.970,74"
Atenção Primária,165,Serviços de Terceiros PF,1500,"R$ 40.000,00",,,"R$ 4.000,00","R$ 36.000,00","R$ 36.000,00","R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 3.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 36.000,00","R$ 36.000,00","R$ 9.000,00"
Atenção Primária,165,Serviços de Terceiros PF,1600,"R$ 0,00","R$ 900,00",,"R$ 42,82","R$ 0,00","R$ 0,00","R$ 0,00","R$ 857,18","R$ 857,18","R$ 857,18","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 857,18","R$ 857,18","R$ 857,18"
Atenção Primária,166,Serviços de Terceiros PJ,1500,"R$ 150.000,00",,,"R$ 142.794,45","R$ 7.205,55","R$ 0,00","R$ 0,00","R$ 0,00","R$ 448,60","R$ 448,60","R$ 0,00","R$ 448,60","R$ 448,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 7.205,55","R$ 897,20","R$ 897,20"
Atenção Primária,166,Serviços de Terceiros PJ,1600,"R$ 550.000,00",,,"R$ 141.228,03","R$ 127.452,30","R$ 0,00","R$ 0,00","R$ 249.999,70","R$ 40.420,22","R$ 40.420,22","R$ 31.319,97","R$ 28.620,02","R$ 28.620,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 408.771,97","R$ 69.040,24","R$ 69.040,24"
