,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro
Atenção Primária ,219,Folha de Pagamento,1600,"R$ 5.000,00",,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,220,Folha de Pagamento,1600,"R$ 110.000,00",,,"R$ 110.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,221,Folha de Pagamento,1600,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,222,Folha de Pagamento,1600,"R$ 500,00",,,"R$ 500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,223,Folha de Pagamento,1600,"R$ 3.000,00",,,"R$ 3.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,224,Folha de Pagamento,1600,"R$ 20.000,00",,,"R$ 20.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,225,Materiais de Consumo,1600,"R$ 5.710,00",,,"R$ 5.710,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,226,Serviços de Terceiro PF ,1600,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,227,Serviços de Terceiros PJ,1600,"R$ 50.000,00",,,"R$ 50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,228,Equipamentos e Materiais Permanentes ,1600,"R$ 10.000,00",,,"R$ 10.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,229,Folha de Pagamento,1600,"R$ 280.000,00",,,"R$ 280.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,230,Folha de Pagamento,1600,"R$ 280.000,00",,,"R$ 280.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,231,Folha de Pagamento,1600,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
