,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,TOTAL ,TOTAL ,TOTAL 
Ensino Geral,2.038,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,164,Serviços de Terceiro PF,1550,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.038,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,165,Serviços de Terceiros PJ,1550,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.038,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,166,Equipamentos e Materiais Permanentes,1550,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.039, MANUTENCAO DO TRANSPORTE ESCOLAR ,167,Materiais de Consumo,1550,"R$ 7.650,00",,,"R$ 7.650,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.039, MANUTENCAO DO TRANSPORTE ESCOLAR ,168,Serviços de Terceiro PF,1550,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.039, MANUTENCAO DO TRANSPORTE ESCOLAR ,169,Serviços de Terceiros PJ,1550,"R$ 185.650,00",,,"R$ 69.404,44","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 116.245,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 116.245,56","R$ 0,00","R$ 0,00"
Ensino Geral,2.048,REMUNERACAO DOCENTES DO MAGISTERIO,180,Contratação por tempo Determinado,15407,"R$ 200.000,00",,,"R$ 180.695,75","R$ 3.084,36","R$ 3.084,36","R$ 3.084,36","R$ 4.112,48","R$ 4.112,48","R$ 4.112,48","R$ 12.107,41","R$ 12.107,41","R$ 12.107,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 19.304,25","R$ 19.304,25","R$ 19.304,25"
Ensino Geral,2.048,REMUNERACAO DOCENTES DO MAGISTERIO,181,Vencimentos e Vantagens Fixas - Pessoal Civil,15407,"R$ 4.348.000,00",,,"R$ 3.148.853,23","R$ 326.245,04","R$ 326.245,04","R$ 326.245,04","R$ 460.717,19","R$ 460.717,19","R$ 460.717,19","R$ 412.184,54","R$ 412.184,54","R$ 412.184,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.199.146,77","R$ 1.199.146,77","R$ 1.199.146,77"
Ensino Geral,2.048,REMUNERACAO DOCENTES DO MAGISTERIO,182,Obrigações Patronais,15407,"R$ 177.000,00",,,"R$ 177.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.048,REMUNERACAO DOCENTES DO MAGISTERIO,684,Obrigações Patronais,2540,"R$ 0,00","R$ 103.374,51",,"R$ 0,00","R$ 56.781,31","R$ 56.781,31","R$ 0,00","R$ 46.593,20","R$ 46.593,20","R$ 56.781,31","R$ 0,00",,"R$ 46.593,20",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 103.374,51","R$ 103.374,51","R$ 103.374,51"
Ensino Geral,2.048,REMUNERACAO DOCENTES DO MAGISTERIO,699,Vencimentos e Vantagens Fixas - Pessoal Civil,2546,"R$ 0,00","R$ 798,70",,"R$ 798,70","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.049, MANUTENCAO DAS ATIVIDADES DA CRECHE MUNICIPAL,194,Materiais de Consumo,1500,"R$ 60.000,00",,,"R$ 43.479,87","R$ 9.079,84","R$ 1.516,55","R$ 1.516,55","-R$ 2.970,51","R$ 2.856,98","R$ 1.533,83","R$ 10.410,80","R$ 5.601,60","R$ 5.507,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 16.520,13","R$ 9.975,13","R$ 8.557,53"
