,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,476,Despesas de exercícios anteriores,15001,"R$ 1.000,00","R$ 1.900,00",,"R$ 42,47","R$ 2.857,53","R$ 2.857,53","R$ 137,16","R$ 0,00","R$ 0,00","R$ 2.720,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.857,53","R$ 2.857,53","R$ 2.857,53"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,464,Materiais de Consumo,15403,"R$ 55.000,00",,,"R$ 55.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,468,"- Material, Bem ou Serviço para Distribuição Gratuita",15403,"R$ 100.000,00",,,"R$ 100.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,454,Contratação por tempo Determinado,15407,"R$ 710.000,00",,,"R$ 670.557,89","R$ 20.905,57","R$ 20.905,57","R$ 20.062,24","R$ 18.536,54","R$ 18.536,54","R$ 6.529,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 39.442,11","R$ 39.442,11","R$ 26.591,27"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,456,Vencimentos e Vantagens Fixas - Pessoal Civil,15407,"R$ 5.900.000,00",,,"R$ 4.737.657,14","R$ 582.957,51","R$ 582.957,51","R$ 582.957,51","R$ 579.385,35","R$ 579.385,35","R$ 579.385,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.162.342,86","R$ 1.162.342,86","R$ 1.162.342,86"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,458,Obrigações Patronais,15407,"R$ 1.190.000,00",,,"R$ 1.001.171,34","R$ 93.986,92","R$ 93.986,92","R$ 878,02","R$ 94.841,74","R$ 94.841,74","R$ 93.986,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 188.828,66","R$ 188.828,66","R$ 94.864,94"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,460,Outras Despesas Variáveis - Pessoal Civil,15407,"R$ 25.000,00",,,"R$ 25.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,465,Materiais de Consumo,1550,"R$ 380.000,00",,,"R$ 286.056,15","R$ 25.561,19","R$ 2.874,39","R$ 34,49","R$ 68.382,66","R$ 41.273,91","R$ 2.991,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 93.943,85","R$ 44.148,30","R$ 3.025,56"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,472,Serviços de Terceiros PJ,1550,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,466,Materiais de Consumo,1552,"R$ 180.000,00",,,"R$ 159.159,10","R$ 0,00","R$ 0,00","R$ 0,00","R$ 20.840,90","R$ 9.632,01","R$ 9.632,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 20.840,90","R$ 9.632,01","R$ 9.632,01"
